Quote;Author;Gender;Category
If you would be a real seeker after truth, it is necessary that at least once in your life you doubt, as far as possible, all things ; René Descartes;M;philosophy
Happiness lies in virtuous activity, and perfect happiness lies in the best activity, which is contemplative ; Aristotle;M;philosophy
I can control my passions and emotions if I can understand their nature ; Spinoza;M;philosophy
"Philosophers have hitherto only interpreted the world in various ways; the point, however, is to change it "; Karl Marx;M;philosophy
It is wrong always, everywhere and for everyone, to believe anything upon insufficient evidence ; W. K. Clifford;M;philosophy
Virtue is nothing else than right reason ; Seneca the Younger;M;philosophy
Freedom is secured not by the fulfilling of one's desires, but by the removal of desire ; Epictetus;M;philosophy
In everything, there is a share of everything ; Anaxagoras;M;philosophy
"A little philosophy inclineth man's mind to atheism; but depth in philosophy bringeth men’s minds about to religion "; Sir Francis Bacon;M;philosophy
The brave man is he who overcomes not only his enemies but his pleasures ; Democritus;M;philosophy
Good and evil, reward and punishment, are the only motives to a rational creature ; John Locke;M;philosophy
To do as one would be done by, and to love one's neighbor as oneself, constitute the ideal perfection of utilitarian morality ; John Stuart Mill;M;philosophy
Everything that exists is born for no reason, carries on living through weakness, and dies by accident ; Jean-Paul Sartre;M;philosophy
Man is the measure of all things ; Protagoras;M;philosophy
We are too weak to discover the truth by reason alone ; St. Augustine;M;philosophy
The mind is furnished with ideas by experience alone ; John Locke;M;philosophy
